AOE|BASIC|v:PISTON|d:draconium|v:PISTON|s:DRACFUN_DRACONIC_CORE|s:DRACFUN_MODULE_CORE|s:DRACFUN_DRACONIC_CORE|v:PISTON|d:draconium|v:PISTON
ARROW_PENETRATION|WYVERN|d:draconium|v:SHIELD|d:draconium|s:DRACFUN_DRACONIC_CORE|s:DRACFUN_MODULE_CORE|s:DRACFUN_DRACONIC_CORE|d:draconium|v:SPECTRAL_ARROW|d:draconium
ARROW_PENETRATION|DRACONIC|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|s:DRACFUN_WYVERN_ARROW_PENETRATION_MODULE|s:DRACFUN_WYVERN_CORE|s:DRACFUN_WYVERN_ARROW_PENETRATION_MODULE|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET
ARROW_PENETRATION|CHAOTIC|d:smallChaos|d:smallChaos|d:smallChaos|s:DRACFUN_DRACONIC_ARROW_PENETRATION_MODULE|s:DRACFUN_AWAKENED_CORE|s:DRACFUN_DRACONIC_ARROW_PENETRATION_MODULE|d:smallChaos|d:smallChaos|d:smallChaos
ARROW_SPEED|WYVERN|d:draconium|p:SPEED|d:draconium|s:DRACFUN_DRACONIC_CORE|s:DRACFUN_MODULE_CORE|s:DRACFUN_DRACONIC_CORE|d:draconium|v:SPECTRAL_ARROW|d:draconium
ARROW_SPEED|DRACONIC|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|s:DRACFUN_WYVERN_ARROW_SPEED_MODULE|s:DRACFUN_WYVERN_CORE|s:DRACFUN_WYVERN_ARROW_SPEED_MODULE|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET
ARROW_SPEED|CHAOTIC|d:smallChaos|d:smallChaos|d:smallChaos|s:DRACFUN_DRACONIC_ARROW_SPEED_MODULE|s:DRACFUN_AWAKENED_CORE|s:DRACFUN_DRACONIC_ARROW_SPEED_MODULE|d:smallChaos|d:smallChaos|d:smallChaos
DAMAGE|BASIC|d:gold|p:STRENGTH|d:gold|d:iron|s:DRACFUN_MODULE_CORE|d:iron|d:gold|p:STRENGTH|d:gold
DAMAGE|WYVERN|d:draconium|p:STRENGTH|d:draconium|s:DRACFUN_BASIC_DAMAGE_MODULE|s:DRACFUN_DRACONIC_CORE|s:DRACFUN_BASIC_DAMAGE_MODULE|d:draconium|p:STRENGTH|d:draconium
DAMAGE|DRACONIC|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|v:DRAGON_BREATH|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|s:DRACFUN_WYVERN_DAMAGE_MODULE|s:DRACFUN_WYVERN_CORE|s:DRACFUN_WYVERN_DAMAGE_MODULE|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|v:DRAGON_BREATH|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET
DAMAGE|CHAOTIC|d:smallChaos|d:smallChaos|d:smallChaos|s:DRACFUN_DRACONIC_DAMAGE_MODULE|s:DRACFUN_AWAKENED_CORE|s:DRACFUN_DRACONIC_DAMAGE_MODULE|d:smallChaos|d:smallChaos|d:smallChaos
POWER|BASIC|v:REDSTONE_BLOCK|v:REDSTONE_BLOCK|v:REDSTONE_BLOCK|d:iron|s:DRACFUN_MODULE_CORE|d:iron|v:REDSTONE_BLOCK|v:REDSTONE_BLOCK|v:REDSTONE_BLOCK
POWER|WYVERN|d:draconium|d:draconium|d:draconium|s:DRACFUN_BASIC_ENERGY_MODULE|s:DRACFUN_DRACONIC_CORE|s:DRACFUN_BASIC_ENERGY_MODULE|d:draconium|d:draconium|d:draconium
POWER|DRACONIC|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|s:DRACFUN_WYVERN_ENERGY_MODULE|s:DRACFUN_WYVERN_CORE|s:DRACFUN_WYVERN_ENERGY_MODULE|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET
POWER|CHAOTIC|d:smallChaos|d:smallChaos|d:smallChaos|s:DRACFUN_DRACONIC_ENERGY_MODULE|s:DRACFUN_AWAKENED_CORE|s:DRACFUN_DRACONIC_ENERGY_MODULE|d:smallChaos|d:smallChaos|d:smallChaos
FLIGHT|WYVERN|d:draconium|v:ELYTRA|d:draconium|s:DRACFUN_DRACONIC_CORE|s:DRACFUN_MODULE_CORE|s:DRACFUN_DRACONIC_CORE|d:draconium|v:ELYTRA|d:draconium
FLIGHT|DRACONIC|d:awakenedDraconium|p:SLOW_FALLING|d:awakenedDraconium|s:DRACFUN_WYVERN_CORE|s:DRACFUN_WYVERN_FLIGHT_MODULE|s:DRACFUN_WYVERN_CORE|d:awakenedDraconium|p:SLOW_FALLING|d:awakenedDraconium
FLIGHT|CHAOTIC|p:SPEED|d:bigChaos|p:SPEED|s:DRACFUN_AWAKENED_CORE|s:DRACFUN_DRACONIC_FLIGHT_MODULE|s:DRACFUN_AWAKENED_CORE|p:SPEED|d:bigChaos|p:SPEED
AUTO_FEED|BASIC|d:iron|v:ENCHANTED_GOLDEN_APPLE|d:iron|v:GOLDEN_APPLE|s:DRACFUN_MODULE_CORE|v:GOLDEN_APPLE|d:iron|s:DRACFUN_DRACONIC_CORE|d:iron
AUTO_FEED|WYVERN|d:draconium|v:GOLDEN_APPLE|d:draconium|s:DRACFUN_DRACONIC_CORE|s:DRACFUN_BASIC_AUTO_FEED_MODULE|s:DRACFUN_DRACONIC_CORE|d:draconium|v:GOLDEN_APPLE|d:draconium
AUTO_FEED|DRACONIC|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|v:GOLDEN_APPLE|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|s:DRACFUN_DRACONIC_CORE|s:DRACFUN_WYVERN_AUTO_FEED_MODULE|s:DRACFUN_DRACONIC_CORE|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|v:GOLDEN_APPLE|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET
AUTO_FEED|CHAOTIC|d:smallChaos|v:GOLDEN_APPLE|d:smallChaos|s:DRACFUN_DRACONIC_CORE|s:DRACFUN_DRACONIC_AUTO_FEED_MODULE|s:DRACFUN_DRACONIC_CORE|d:smallChaos|v:GOLDEN_APPLE|d:smallChaos
HARVEST|WYVERN|d:draconium|v:DIAMOND_AXE|d:draconium|s:DRACFUN_DRACONIC_CORE|s:DRACFUN_MODULE_CORE|s:DRACFUN_DRACONIC_CORE|d:draconium|v:DIAMOND_AXE|d:draconium
HARVEST|DRACONIC|d:awakenedDraconium|s:DRACFUN_DRACONIC_CORE|d:awakenedDraconium|d:netherite|s:DRACFUN_WYVERN_HARVEST_MODULE|d:netherite|d:awakenedDraconium|s:DRACFUN_WYVERN_CORE|d:awakenedDraconium
HARVEST|CHAOTIC|d:netherite|s:DRACFUN_DRACONIC_CORE|d:netherite|d:bigChaos|s:DRACFUN_DRACONIC_HARVEST_MODULE|d:bigChaos|d:netherite|s:DRACFUN_AWAKENED_CORE|d:netherite
JUMP|BASIC|d:gold|p:JUMP|d:gold|d:iron|s:DRACFUN_MODULE_CORE|d:iron|d:gold|p:JUMP|d:gold
JUMP|WYVERN|d:draconium|p:JUMP|d:draconium|s:DRACFUN_BASIC_JUMP_MODULE|s:DRACFUN_DRACONIC_CORE|s:DRACFUN_BASIC_JUMP_MODULE|d:draconium|p:JUMP|d:draconium
JUMP|DRACONIC|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|s:DRACFUN_WYVERN_JUMP_MODULE|s:DRACFUN_WYVERN_CORE|s:DRACFUN_WYVERN_JUMP_MODULE|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET
JUMP|CHAOTIC|d:smallChaos|d:smallChaos|d:smallChaos|s:DRACFUN_DRACONIC_JUMP_MODULE|s:DRACFUN_AWAKENED_CORE|s:DRACFUN_DRACONIC_JUMP_MODULE|d:smallChaos|d:smallChaos|d:smallChaos
SHIELD_CAPACITY|WYVERN|d:draconium|v:NETHERITE_SCRAP|d:draconium|d:gold|s:DRACFUN_MODULE_CORE|d:gold|d:draconium|v:NETHERITE_SCRAP|d:draconium
SHIELD_CAPACITY|DRACONIC|d:netherite|s:DRACFUN_DRACONIC_CORE|d:netherite|d:awakenedDraconium|s:DRACFUN_WYVERN_SHIELD_CAPACITY_MODULE|d:awakenedDraconium|d:netherite|s:DRACFUN_WYVERN_CORE|d:netherite
SHIELD_CAPACITY|CHAOTIC|d:awakenedDraconium|s:DRACFUN_AWAKENED_CORE|d:awakenedDraconium|d:bigChaos|s:DRACFUN_DRACONIC_SHIELD_CAPACITY_MODULE|d:bigChaos|d:awakenedDraconium|s:DRACFUN_CHAOTIC_CORE|d:awakenedDraconium
SHIELD_CONTROL|WYVERN|d:diamond|s:DRACFUN_DRAGON_HEART|d:diamond|s:DRACFUN_WYVERN_CORE|s:DRACFUN_MODULE_CORE|s:DRACFUN_WYVERN_CORE|d:diamond|s:DRACFUN_PARTICLE_GENERATOR|d:diamond
SHIELD_CONTROL|DRACONIC|d:emerald|d:netherite|d:emerald|s:DRACFUN_AWAKENED_CORE|s:DRACFUN_WYVERN_SHIELD_CONTROL_MODULE|s:DRACFUN_AWAKENED_CORE|d:emerald|d:netherite|d:emerald
SHIELD_CONTROL|CHAOTIC|v:NETHER_STAR|d:netherite|v:NETHER_STAR|s:DRACFUN_CHAOTIC_CORE|s:DRACFUN_DRACONIC_SHIELD_CONTROL_MODULE|s:DRACFUN_CHAOTIC_CORE|v:NETHER_STAR|d:netherite|v:NETHER_STAR
SHIELD_RECOVERY|WYVERN|d:draconium|v:NETHERITE_SCRAP|d:draconium|d:redstone|s:DRACFUN_MODULE_CORE|d:redstone|d:draconium|v:NETHERITE_SCRAP|d:draconium
SHIELD_RECOVERY|DRACONIC|d:netherite|s:DRACFUN_DRACONIC_CORE|d:netherite|d:awakenedDraconium|s:DRACFUN_WYVERN_SHIELD_RECOVERY_MODULE|d:awakenedDraconium|d:netherite|s:DRACFUN_WYVERN_CORE|d:netherite
SHIELD_RECOVERY|CHAOTIC|d:awakenedDraconium|s:DRACFUN_AWAKENED_CORE|d:awakenedDraconium|d:bigChaos|s:DRACFUN_DRACONIC_SHIELD_RECOVERY_MODULE|d:bigChaos|d:awakenedDraconium|s:DRACFUN_CHAOTIC_CORE|d:awakenedDraconium
SPEED|BASIC|d:iron|p:SPEED|d:iron|v:CLOCK|s:DRACFUN_MODULE_CORE|v:CLOCK|d:iron|p:SPEED|d:iron
SPEED|WYVERN|d:draconium|d:draconium|d:draconium|s:DRACFUN_BASIC_SPEED_MODULE|s:DRACFUN_DRACONIC_CORE|s:DRACFUN_BASIC_SPEED_MODULE|d:draconium|d:draconium|d:draconium
SPEED|DRACONIC|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|s:DRACFUN_WYVERN_SPEED_MODULE|s:DRACFUN_WYVERN_CORE|s:DRACFUN_WYVERN_SPEED_MODULE|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET|s:DRACFUN_AWAKENED_DRACONIUM_NUGGET
SPEED|CHAOTIC|d:smallChaos|d:smallChaos|d:smallChaos|s:DRACFUN_DRACONIC_SPEED_MODULE|s:DRACFUN_AWAKENED_CORE|s:DRACFUN_DRACONIC_SPEED_MODULE|d:smallChaos|d:smallChaos|d:smallChaos
UNDYING|WYVERN|d:draconium|v:TOTEM_OF_UNDYING|d:draconium|s:DRACFUN_DRACONIC_CORE|s:DRACFUN_MODULE_CORE|s:DRACFUN_DRACONIC_CORE|d:draconium|s:DRACFUN_WYVERN_SHIELD_CAPACITY_MODULE|d:draconium
UNDYING|DRACONIC|d:awakenedDraconium|p:INSTANT_HEAL|d:awakenedDraconium|s:DRACFUN_WYVERN_CORE|s:DRACFUN_WYVERN_UNDYING_MODULE|s:DRACFUN_WYVERN_CORE|d:awakenedDraconium|s:DRACFUN_DRACONIC_SHIELD_CAPACITY_MODULE|d:awakenedDraconium
UNDYING|CHAOTIC|d:smallChaos|v:ENCHANTED_GOLDEN_APPLE|d:smallChaos|s:DRACFUN_AWAKENED_CORE|s:DRACFUN_DRACONIC_UNDYING_MODULE|s:DRACFUN_AWAKENED_CORE|d:smallChaos|s:DRACFUN_CHAOTIC_SHIELD_CAPACITY_MODULE|d:smallChaos
VISION|WYVERN|d:draconium|p:NIGHT_VISION|d:draconium|s:DRACFUN_DRACONIC_CORE|s:DRACFUN_MODULE_CORE|s:DRACFUN_DRACONIC_CORE|d:draconium|p:NIGHT_VISION|d:draconium
